,F1Y1,F2Y2,F3Y3,F4Y4,X1,X2,X3
39,2557.837458858343,5045.986258081462,605.2381014624873,202.22517443292668,1.0,3.0,10.0
40,2237.951253989484,4886.343633324179,595.8028210006316,141.83322199042607,1.0,3.0,11.0
41,1957.5531192787053,4718.64363202029,538.3999742978189,135.37409761651134,1.0,3.0,12.0
42,1644.7847677946384,4376.4906122644115,543.1641389448408,90.66732932827153,1.0,3.0,13.0
43,1758.7558515892347,4218.409934778638,454.22121864406574,37.08533951031461,1.0,3.0,14.0
44,0.012081928957400123,0.0315086069306858,0.005792318197109125,0.004043969700362027,1.0,3.0,15.0
45,8242.405136595542,5332.901606888171,797.5702339744867,946.3506134772211,1.0,4.0,1.0
46,6976.699176736038,5384.921215256607,822.6710841038407,764.5144295835507,1.0,4.0,2.0
47,6222.513229838753,5285.907044677232,823.0040164362904,527.0744402309869,1.0,4.0,3.0
48,6364.612946810448,5292.21236830671,777.9484785819668,574.6346086716953,1.0,4.0,4.0
49,5326.829255025679,5748.7438428242895,767.2995575254151,465.4776305525345,1.0,4.0,5.0
50,4120.284468655869,5649.233354712462,788.6760214984681,398.9040800609969,1.0,4.0,6.0
51,3697.08597557103,5360.649618640254,711.7516857163763,394.9118040942735,1.0,4.0,7.0
52,3192.7341624443907,5366.91654735486,719.6719299416077,324.39147844925094,1.0,4.0,8.0
53,2744.9545564000746,5045.447813920513,712.4690286527155,210.73583496041988,1.0,4.0,9.0
54,2565.852172601587,4998.220360079718,612.6427506344445,197.32917336540788,1.0,4.0,10.0
55,2232.3091510221557,4756.786513549396,581.3679126604968,138.21207423631245,1.0,4.0,11.0
56,1965.3201310736972,4679.605256820772,547.1587140423044,131.61446741226052,1.0,4.0,12.0
57,1643.0523500334002,4354.323912481066,551.1231122838217,91.29364545729848,1.0,4.0,13.0
58,1760.0934913093524,4225.544950046329,458.6884301110654,37.69220178487615,1.0,4.0,14.0
59,0.011907869965739337,0.033851340595902,0.005788675860230796,0.003976208774346901,1.0,4.0,15.0
60,8226.175901592665,4878.899881980794,769.7123119639964,950.0777735274445,1.0,5.0,1.0
61,6962.4168785461225,4944.459603471801,803.5173046828259,766.9854458369389,1.0,5.0,2.0
62,6094.748613449355,4823.331331718774,804.39787420941,526.1521197523971,1.0,5.0,3.0
63,6243.1357610595,4892.731512052692,768.1522551928742,575.4125826146142,1.0,5.0,4.0
64,5250.519834661869,5374.040286737353,761.8186018430251,466.3548208037346,1.0,5.0,5.0
65,4056.6024479590815,5285.136533579716,783.296970273723,399.7596321358592,1.0,5.0,6.0
